,y_true,y_fitted
2004-08-01,-0.4225013293324147,-0.0196171124584601
2004-09-01,-0.1631256021727038,0.018081895595933536
2004-10-01,-0.2909234738655958,-0.006135734210822563
2004-11-01,-0.1503699330161167,0.04351492188640879
2004-12-01,-0.0267702942740124,0.0186381308114211
2005-01-01,0.0782521293723086,-0.013246555467687784
2005-02-01,0.1587484142072706,-0.04135154810630043
2005-03-01,-0.0092167685033128,-0.063406909537552
2005-04-01,-0.1039897419596176,-0.027629739248307496
2005-05-01,0.2258795580218612,-0.0007549658838574766
2005-06-01,0.0349030268338009,-0.07269384738832135
2005-07-01,-0.0213341859584358,-0.0392332658246049
2005-08-01,-0.0663010625435839,-0.02193714713704252
2005-09-01,-0.0327898727177611,-0.009705271438052516
2005-10-01,-0.100083377149727,-0.015875727802009302
2005-11-01,0.1953934494268113,-0.0011290941166615144
2005-12-01,0.0032417318920839,-0.06670241963103957
2006-01-01,-0.0520317802629497,-0.032169940368247475
2006-02-01,0.0307717218296024,-0.01496887656586636
2006-03-01,0.0,-0.03211010923191601
2006-04-01,0.0351862977019757,-0.02651977870135868
2006-05-01,-0.0429298167829244,-0.03400292371365927
2006-06-01,-0.099762069442948,-0.017232017206389783
2006-07-01,-0.1067245979207733,-0.001913529815069162
2006-08-01,-0.1349950330970223,0.001704253234434832
2006-09-01,0.0023406427021455,0.009330876473181756
2006-10-01,0.1701670131003346,-0.020853177757117262
2006-11-01,0.0964451836185507,-0.06331768051198292
2006-12-01,-0.0102010010159377,-0.05270216972269509
2007-01-01,-0.035608537867112,-0.026806994429222592
2007-02-01,-0.0132119025636184,-0.017242292629260286
2007-03-01,-0.0838499613440113,-0.020872462657201357
2007-04-01,-0.0544878223082258,-0.005537732731184242
2007-05-01,0.0215835032265277,-0.010331421898088104
2007-06-01,0.0211273743283191,-0.02816270916622926
2007-07-01,-0.0835329508181106,-0.030607142056211904
2007-08-01,-0.0114287184509251,-0.007096302971571662
2007-09-01,-0.1006885541548473,-0.020747408863041
2007-10-01,0.0333362960391385,-0.0019885218319960936
2007-11-01,0.0401660629358874,-0.02993122171255022
2007-12-01,-0.0320026733536905,-0.035083469414138355
2008-01-01,-0.0919014038184523,-0.018777790653987218
2008-02-01,-0.0953101729926453,-0.0029780404698186887
2008-03-01,-0.0198025913305123,-0.0001855402843568381
2008-04-01,-0.1743534926868888,-0.017056723460053064
2008-05-01,-0.0475407985802983,0.016042609713685183
2008-06-01,0.1165336397390547,-0.00797047905336366
2008-07-01,-0.0749629291466732,-0.04844214470169274
2008-08-01,-0.6338619596611166,-0.010017712625883902
2008-09-01,-0.6554904363688494,0.12298615326848004
2008-10-01,0.688789916546043,0.1458109962599381
2008-11-01,-1.3477458901263697,-0.15810174541130817
2008-12-01,-0.1840035951329946,0.2653828254885374
2009-01-01,0.0200005759404659,0.056327912926289574
2009-02-01,-0.1042608315428192,-0.018318337340989487
2009-03-01,-0.3999857722805367,6.88096877360378e-05
2009-04-01,0.1376214080799474,0.07070080176166804
2009-05-01,0.182321534047808,-0.04248037509847452
2009-06-01,0.3141154739085103,-0.06785515743901054
2009-07-01,0.050858421352807,-0.1021944978324062
2009-08-01,-0.0595921858518561,-0.04671697125926746
2009-09-01,0.4511874716785862,-0.014178388279358314
2009-10-01,-0.1439605739159671,-0.12640598267866893
2009-11-01,0.1098662502782734,-0.005178856920021355
2009-12-01,0.0778169325843745,-0.04724581761282558
2010-01-01,-0.010752691257954,-0.04586174084760713
2010-02-01,-0.0442060995065157,-0.025760742489502386
2010-03-01,-0.0344862934880907,-0.015143147019649986
2010-04-01,0.0,-0.016399197711978696
2010-05-01,0.0173916926235563,-0.023996520861100296
2010-06-01,-0.0531095537862859,-0.029141648125580785
2010-07-01,-0.1571856611320792,-0.014521053474707737
2010-08-01,-0.3140307666395941,0.0114647990879455
2010-09-01,0.8542086589734978,0.05097348827062985
2010-10-01,-0.4455124686491823,-0.21040490212351337
2010-11-01,-0.1992383177657675,0.051438107055371954
2010-12-01,0.1796934715045319,0.030836309747720607
2011-01-01,-0.1563460288122134,-0.058386025783120625
2011-02-01,-0.0077219731760383,0.006738711214382444
2011-03-01,0.0454623066024072,-0.01859651222659255
2011-04-01,-0.2901544038293996,-0.03382274420085246
2011-05-01,-0.0099502381569885,0.04023377458294283
2011-06-01,0.0,-0.013586931468495982
2011-07-01,0.0487901732678902,-0.022925204354948426
2011-08-01,-0.0192311799587375,-0.035584611224805496
2011-09-01,-0.1129405150216825,-0.02135129313325119
2011-10-01,-0.6931471805599453,0.001904591649878204
2011-11-01,0.4754235423566822,0.13698750484431
2011-12-01,0.3964153570899016,-0.1111385097080538
2012-01-01,-0.306031155365117,-0.126333532671395
2012-02-01,0.1273394364784783,0.03186952008941533
2012-03-01,-0.1397617788254515,-0.046149556132124944
2012-04-01,0.3001044442844963,0.004777179007690448
2012-05-01,-0.1823215744853998,-0.0883040945644182
2012-06-01,-0.2371299562496009,0.009210500519909213
2012-07-01,0.1317694287974775,0.034654410777122294
2012-08-01,-0.1897566312201624,-0.04623792980178748
2012-09-01,0.0148151591759092,0.01619239437386508
2012-10-01,-0.0148151591759092,-0.021917990958391267
2012-11-01,-0.0150378082310717,-0.02031534549122238
2012-12-01,0.0588404400558222,-0.020159735702182914
2013-01-01,0.4149438765255445,-0.03676238250086737
2013-02-01,0.0639487357663559,-0.1208925028299854
2013-03-01,0.0432968129180017,-0.05226679937944305
2013-04-01,0.1709577553500431,-0.03796636736161085
2013-05-01,0.4877032434572693,-0.06538022839841212
2013-06-01,-0.3173579031966765,-0.1410295129199324
2013-07-01,-0.0182375331769246,0.03235666172210521
2013-08-01,-0.123936791744591,-0.013135738256042266
2013-09-01,0.0474663505121512,0.005147877774418056
2013-10-01,-0.0268473219114341,-0.03183603224904735
2013-11-01,-0.0631786459039876,-0.020000528857376663
2013-12-01,0.0631786459039876,-0.01042345757388095
2014-01-01,-0.0631786459039876,-0.03867046447519133
2014-02-01,-0.0520564385817958,-0.013587696625520177
2014-03-01,-0.1478095277220553,-0.012497746232114477
2014-04-01,-0.0269074575313713,0.009838614850167012
2014-05-01,-0.0276516254844835,-0.014453615323506015
2014-06-01,0.1229619000330799,-0.017482121877142466
2014-07-01,-0.0166672143731881,-0.052381530744268476
2014-08-01,-0.0786430601754083,-0.025290794169119193
2014-09-01,0.0357180886967402,-0.007815399235784818
2014-10-01,0.008733764499049,-0.03161066706023315
2014-11-01,0.1603425916164898,-0.029143922557456885
2014-12-01,-0.1094841702636828,-0.06337408849385977
2015-01-01,-0.0772917659441709,-0.007307575167799231
2015-02-01,0.0088889489269458,-0.007457226939817374
2015-03-01,0.0928936848488975,-0.02686996248664672
2015-04-01,0.1284784203943691,-0.04824158301007879
2015-05-01,-0.0584107703073287,-0.05935779311144555
2015-06-01,0.0512932333321069,-0.018126367222160353
2015-07-01,-0.0588404400558221,-0.037888075231390414
2015-08-01,-0.0386149170500022,-0.015583921227256546
2015-09-01,-0.2192140475039126,-0.0172046854372748
2015-10-01,0.0289873549041021,0.024097671461475394
2015-11-01,0.0465200239062185,-0.02646951483070693
2015-12-01,0.0444518531957893,-0.03703550040872258
2016-01-01,-0.090971877102008,-0.03826166323894864
2016-02-01,0.0734274814375899,-0.007618023102837688
2016-03-01,-0.0926586613963274,-0.04061290633738982
2016-04-01,0.0192311799587375,-0.007140116906261686
2016-05-01,0.0,-0.028337924518373424
2016-06-01,0.090971877102008,-0.0264908850680156
2016-07-01,-0.0535843383526201,-0.04703250699561076
2016-08-01,0.0091324851568307,-0.016812750693109217
